,Gene
1087,MTMR9
1088,MTNR1B
1089,MUC22
1090,MUC3A
1091,MUCL3
1092,MUTYH
1093,MYBPC3
1094,MYCBP2
1095,MYD88
1096,MYH2
1097,MYH6
1098,MYH7
1099,MYH9
1100,MYL12B
1101,MYL9
1102,MYLK
1103,MYO9B
1104,MYOC
1105,MYPN
1106,MYSM1
1107,NAA25
1108,NAA80
1109,NACC1
1110,NAGS
1111,NAMPT
1112,NBN
1113,NBPF3
1114,NCAPG2
1115,NCOA5
1116,NCR3
1117,NDUFA13
1118,NECTIN2
1119,NEK7
1120,NEK9
1121,NELFCD
1122,NELFE
1123,NEU4
1124,NEURL2
1125,NEURL4
1126,NF1
1127,NFASC
1128,NFAT5
1129,NFE2
1130,NFIC
1131,NFKBID
1132,NFKBIZ
1133,NGEF
1134,NHLRC1
1135,NHLRC2
1136,NKAPL
1137,NKD2
1138,NKPD1
1139,NKTR
1140,NKX2-3
1141,NLGN2
1142,NLRP3
1143,NLRP6
1144,NLRX1
1145,NMNAT3
1146,NMT1
1147,NOL4L
1148,NOP14
1149,NOS3
1150,NOSTRIN
1151,NOTCH4
1152,NOX4
1153,NOXRED1
1154,NPAS4
1155,NPC1
1156,NPC1L1
1157,NPHP3
1158,NPHS1
1159,NPIPB11
1160,NPR2
1161,NPR3
1162,NPRL3
1163,NR0B2
1164,NR1H3
1165,NR1H4
1166,NR1I2
1167,NR1I3
1168,NR2E1
1169,NR2F1
1170,NR3C2
1171,NRBF2
1172,NRBP1
1173,NRF1
1174,NRG2
1175,NRK
1176,NRN1
1177,NT5C1B
1178,NTN3
1179,NUDT21
1180,NUDT8
1181,NUFIP2
1182,NUP37
1183,NUP88
1184,NUTF2
1185,OBSCN
1186,OCA2
1187,OCIAD2
1188,OLFML2A
1189,OPCML
1190,OPN4
1191,OR10A5
1192,OR10C1
1193,OR10R2
1194,OR10T2
1195,OR12D2
1196,OR2C3
1197,OR2H1
1198,OR2L5
1199,OR2M3
1200,OR2T12
1201,OR4K13
1202,OR52N5
1203,OR56A3
1204,OR5AK2
1205,OR5M9
1206,OR5V1
1207,OR6C75
1208,OR6K2
1209,OR6N2
1210,OR6Y1
